City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
250,Vao,NC,76.82,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
251,Sale,MA,86.63,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
252,Anderson,US,89.69,clear sky,34.5334,-82.6499,The Bleckley Inn
253,Namatanai,PG,82.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
254,Sweetwater,US,90.0,few clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
262,Ponta Do Sol,PT,77.13,clear sky,32.6667,-17.1,Hotel do Campo
263,Khash,IR,80.62,broken clouds,28.2211,61.2158,خوابگاه آبجی محدثه
266,Kavaratti,IN,81.03,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
267,El Arenal,MX,85.91,broken clouds,20.7833,-103.7,Hotel el campesino
268,Labrea,BR,80.26,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
271,Bloomington,US,85.01,broken clouds,44.8408,-93.2983,La Quinta Inn by Wyndham Minneapolis Airport Bloomington
276,Sarishabari,BD,81.34,overcast clouds,24.7333,89.8333,Bangali Telecom
277,Portland,US,83.61,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
278,Banda Aceh,ID,81.0,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
280,Wad Madani,SD,80.37,overcast clouds,14.4012,33.5199,فندق يوغسلافيا
282,Gigmoto,PH,81.41,light rain,13.7796,124.39,Cj's Travellers Inn
285,Alofi,NU,77.07,overcast clouds,-19.0595,-169.9187,Taloa Heights
286,Lingao,CN,79.83,few clouds,19.9103,109.6859,Lingao Ditai Inn
293,Hithadhoo,MV,81.97,broken clouds,-0.6,73.0833,Scoop Guest House
296,Teguise,ES,75.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
298,Sola,VU,80.31,scattered clouds,-13.8833,167.55,Leumerus Bungalows
303,Nanakuli,US,85.95,broken clouds,21.3906,-158.1547,Camp Pālehua
307,Jand,PK,86.52,overcast clouds,33.4299,72.0193,Mohalla Takia
309,Kaseda,JP,77.74,clear sky,31.4167,130.3167,Sun Stay Kaseda
310,Balkanabat,TM,84.9,clear sky,39.5108,54.3671,Nebitchi Hotel
314,Shizilu,CN,78.57,moderate rain,35.1711,118.8289,Shell Linyi Lvnan Bus Station Hotel
315,Nara,JP,78.49,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
316,Lincoln,US,88.9,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
